Filename	Notes	Audio Filename	UK (United Kingdom)	F (France)	D (Germany)	E (Spain)	IT (Italy)
XBOX_TCR_MU_COPY_FAIL	s	s	The copy failed.	La copie a été interrompue.	Fehler beim Kopieren.	Error al copiar.	La copia è fallita
XBOX_TCR_MU_COPYING	s	s	Copying	Copie en cours...	Kopiere	Copiando	Copia in corso
XBOX_TCR_MU_INSERT	s	s	Insert a memory unit.	Insérer carte mémoire.	MU einstecken.	Insertar UM.	Inserire una memory unit
XBOX_TCR_MU_ERASE	s	s	Do you want to erase this memory unit?	Effacer le contenu de cette carte mémoire?	Soll diese Memory Unit vollständig gelöscht werden?	¿Borrar esta unidad de memoria?	Vuoi formattare la memory unit?
XBOX_TCR_MU_FREE	s	s	Please free	Libérer	Bitte löschen Sie	Liberar	Occorre liberare
XBOX_TCR_MU_CORRUPTEDSAVE	s	s	Damaged game	Partie endommagée	Spiel beschädigt	Juego dañado	Gioco danneggiato
XBOX_TCR_MU_UNKNOWNTITLE	s	s	Unknown Title	Jeu inconnu	Unbekannter Titel	Juego desconocido	Gioco sconosciuto
XBOX_TCR_MU_DELETING_PROGRESS	s	s	Deleting...	Suppression en cours...	Lösche...	Eliminando...	Eliminazione in corso...
SAFARI_HELP_POST_HUT	Very simple help text for the safari level.	s	Check out that zookeepers hut for the 1st poster - but remember Taz doesn't have to use the door.	"Allez voir la hutte du gardien du zoo, des fois que la première affiche s'y trouve. Et n'oubliez pas que Taz n'est pas obligé d'entrer par la porte..."	"Sieh dir die Hütte des Zoowärters an, um das erste Poster zu finden - aber denk daran, Taz muss nicht unbedingt die Tür benutzen."	Controla la cabaña del vigilante del zoo en busca del primer cartel. Pero recuerda que para Taz no es necesario usar la puerta.	Dai un'occhiata al gabbiotto del guardiano dello zoo alla ricerca del primo poster. Ricorda: Taz non deve necessariamente utilizzare la porta.
SAFARI_HELP_POST_BEES	Very simple help text for the safari level.	s	"Yum! Honey! A spin will be no use here, why not try a can of soda to give these guys a rumble!"	"Hmm... Tourner ne sert à rien ici, alors pourquoi ne pas boire un peu de soda pour montrer à ces types de quel bois vous vous chauffez?"	"Mmm... Honig! Ein Wirbel wäre hier zwecklos, wie wär's mit einer Büchse Soda, um es den Kerlen zu zeigen!"	"¡Ñam! ¡Miel! Un tornado no serviría de nada en este caso, por qué no lo intentas con un refresco para echarles un buen gruñido a estos."	Yum! Miele! Un tornado non sarebbe di grande utilità: perché non provi con una bibita gassata e fai vedere loro cosa sai fare!
SAFARI_HELP_POST_STUMP	Very simple help text for the safari level.	s	You'll need to bounce on the branches to get up there.	Il faut rebondir sur les branches pour arriver là-haut.	"Du wirst auf die Äste springen müssen, um dort hinaufzukommen."	Tendrás que brincar por las ramas para llegar ahí arriba.	Per arrivare fino in cima dovrai saltare di ramo in ramo.
SAFARI_HELP_POST_CORK	Very simple help text for the safari level.	s	"Getting up there is no problem, but you'll have to be quick to avoid a punch!"	"Monter n'est pas un problème, mais attention à ne pas prendre un coup de poing dans le nez !"	"Es ist kein Problem, dorthin zu gelangen, aber du wirst schnell reagieren müssen, um einem Schlag auszuweichen."	"Llegar ahí arriba no es problema, sólo que tendrás que ser rápido para esquivar un puñetazo."	"Salire non è un problema, ma dovrai essere rapido e stare attento ai pugni."
SAFARI_HELP_POST_LOOKOUTPOST	Very simple help text for the safari level.	s	Check out those wooden supports and it will be you who has to look-out!	"Intéressez-vous à ces supports en bois, mais attention, hein?"	"Sieh dir diese hölzernen Stützen an - es ist an dir, auf der Hut zu sein! "	Controla los apoyos de madera y serás tú el que tenga que estar atento.	Tieni d'occhio i sostegni di legno o potrebbero essere dolori!
SAFARI_HELP_POST_VAN	Very simple help text for the safari level.	s	"That van up there is ready for a tumble, maybe those tyres and monkeys will help you out."	Cette camionnette ne demande qu'à se retourner. Peut-être que ces pneus et ces singes vont pouvoir vous aider.	"Der Wagen dort steht kurz davor, abzustürzen; vielleicht könnten diese Reifen und die Affen von Nutzen sein."	"A esa furgoneta le falta un pelo para caerse, igual te podrían ayudar los neumáticos y los monos."	Il furgone è pronto al botto: forse le gomme e le scimmie potrebbero servire alla causa.
SAFARI_HELP_POST_WATERFALL	Very simple help text for the safari level.	s	Getting over there without getting soaked will be difficult. Why not experiment with these lilies.	"Il sera difficile d'arriver de l'autre côté sans être trempé. En passant sur les nénuphars, peut-être?"	"Es wird schwierig werden, dahin zu kommen, ohne nass zu werden - wieso probierst du nicht diese Lilien?"	Pasar por esta parte sin ponerte como una sopa será difícil. ¿Por qué no experimentas con esos nenúfares?	Raggiungere l'altra sponda senza annegare non sarà facile: perché non provi con le ninfee?
DEMO_SINGLE_PLAYER	Menu option to play the single player demo.	s	Single Player	Un seul joueur	Einzelspieler	Un jugador	Giocatore singolo
DEMO_TWO_PLAYER	Menu option to play the 2 player trolley dash demo.	s	Two-Player Shopping Cart Dash	Course de chariots à deux joueurs	Zweispieler Einkaufswagen-\nRennen	Carrera de carritos de dos jugadores.	Corsa del carrello a due giocatori
DEMO_TIME	On-screen text to use with a countdown timer. Once the demo starts there are 4 minutes of play.	s	Time remaining:	Temps restant:	Verbleibende Zeit:	Tiempo restante	Tempo rimanente:
DEMO_CONTROL_CROSS	On-screen text to show that the CROSS button makes Taz jump.	s	@(cross) Jump	@(cross) Sauter	@(cross) Springen	@(cross) Saltar	@(cross) Salto
DEMO_CONTROL_CIRCLE	On-screen text to show that the CIRCLE button makes Taz spin.	s	@(circle) Spin	@(circle) Tornade	@(circle) Wirbeln	@(circle) Tornado	@(circle) Tornado
DEMO_CONTROL_SQUARE	On-screen text to show that the SQUARE button makes Taz rant or do a costume attack.	s	@(square) Rant / Costume Attack	@(square) Hurler/attaque costumée	@(square) Erschrecken / Verwandlungs-Attacke	@(square) Gruñir / Ataque disfrazado	@(square) Delirio / Attacco mascherato
DEMO_CONTROL_TRIANGLE	On-screen text to show that the TRIANGLE button makes Taz eat or spit out what he has eaten.	s	@(eat) Eat / Spit	@(eat) Manger/recracher	@(eat) Essen / Ausspucken	@(eat) Comer / Escupir	@(eat) Mangia / Sputa
DEMO_CONTROL_LEFT_ANALOG	On-screen text to show that the LEFT ANALOG STICK controls Taz's movement.	s	Movement	Déplacement	Bewegung	Movimiento	Movimento
DEMO_CONTROL_RIGHT_ANALOG	On-screen text to show that the RIGHT ANALOG STICK controls the camera.	s	Camera control	Contrôle de la caméra	Kamerasteuerung	Control cámara	Comandi telecamera
DEMO_CONTROL_L1	On-screen text to show that the L1 button rotates the camera.	s	@(l1) Rotate camera	@(l1) Fait pivoter la caméra	@(l1) Kameradrehung	@(l1) Girar cámara	@(l1) Ruota telecamera
DEMO_CONTROL_R1	On-screen text to show that the R1 button rotates the camera.	s	@(r1) Rotate camera	@(r1) Fait pivoter la caméra	@(r1) Kameradrehung	@(r1) Girar cámara	@(r1) Ruota telecamera
DEMO_CONTROL_L2	On-screen text to show that the L2 button makes Taz tiptoe	s	@(l2) Tiptoe	@(l2) Marcher sur la pointe des pieds	@(l2) Anschleichen	@(l2) De puntillas	@(l2) Punta di piedi
DEMO_CONTROL_R2	On-screen text to show that the R2 button gives the player an in-eye first person view.	s	@(r2) First person view	"@(r2) Vision ""première personne"""	@(r2) Erste-Person-Perspektive	@(r2) Vista primera persona	@(r2) Visuale in prima persona
DEMO_CONTROL_START	On-screen text to show that the START button pauses the game.	s	Pause	Pause	Pause	Pausa	Pausa
DEMO_CONTROL_SELECT	On-screen text to show that the SELECT button gives the player a map.	s	Map	Carte	Karte	Mapa	Mappa
DEMO_CONTROL_TROLLEY_CIRCLE	On-screen text to show that in two player mode the CIRCLE button accelerates the trolley speed.	s	@(circle) Accelerate	@(circle) Accélérer	@(circle) Beschleunigen	@(circle) Acelerar	@(circle) Accelera
DEMO_MARKETING_HEADER	Marketing header	s	Taz: Wanted features:	Options de Taz : Wanted	Taz: Wanted Features:	Características de Taz: Wanted:	Caratteristiche di Taz: Wanted:
DEMO_MARKETING_1	Marketing bullet points	s	"Unique ""smash 'n' dash"" gameplay"	Un mode de jeu unique et déjanté	"Einzigartiges ""Hau drauf"" Spiel"	Un juego único repleto de destrozos y choquetazos.	"Inedita giocabilità ""colpisci e distruggi"""
DEMO_MARKETING_2	Marketing bullet points	s	Non-linear game structure	Une structure non linéaire	Nicht-lineare Spielstruktur	Estructura de juego no lineal.	Struttura di gioco non lineare
DEMO_MARKETING_3	Marketing bullet points	s	Two-player mode for competitive challenges	La possibilité de jouer à deux pour s'affronter	Mehrspieler-Modus für spannende Wettkämpfe	Modo de dos jugadores para retos competitivos.	Modalità di sfida a due giocatori
DEMO_MARKETING_4	Marketing bullet points	s	"10 levels of hilarious, varied gameplay"	Dix niveaux de jeux variés et hilarants	"10 verschiedene Spielelevels, eines komischer als das andere"	10 niveles de juego variado y desternillante.	"10 divertenti livelli, tutti diversi fra loro"
DEMO_MARKETING_5	Marketing bullet points	s	Detailed character models	Des personnages détaillés	Detailliert ausgestaltete Figuren	Personajes detallados	Personaggi dettagliati
DEMO_MARKETING_6	Marketing bullet points	s	Hysterical script	Un script hystérique	Ein Irrsinnsskript	Guión delirante	Sceneggiatura irresistibile
DEMO_MARKETING_7	Marketing bullet points	s	Huge roaming levels with destructible environments	D'immenses niveaux à l'environnement destructeur	Breit angelegte Levels mit zerstörbaren Umgebungen	Inmensos niveles en los que moverse y cuyo entorno se puede destrozar	Livelli enormi e distruttibili
DEMO_MARKETING_8	Marketing bullet points	s	Cutting-edge adaptive soundtrack	Une bande son à la pointe de la technologie	Atemberaubender Soundtrack	Atrevida banda sonora de gran acierto	Colonna sonora coinvolgente
DEMO_MARKETING_9	Marketing bullet points	s	Fantastic animation	Une animation fantastique	Phantastische Animation	Animación fantásica	Stupenda animazione
DEMO_MARKETING_10	Marketing bullet points	s	Released Summer 2002	Sortie en été 2002	Erscheint im Sommer 2002	A la venta en el verano de 2002	Uscita nell'estate  2002
DEMO_DEPTSTORE_POSTER_HEADING	s	s	Eliminate the Taz: Wanted posters! 	Eliminez les affiches Taz : Wanted !	Eliminiere die Taz: Wanted Poster! 	¡Destruye los carteles de Taz: Wanted! 	Elimina i poster di Taz: Wanted!
DEMO_DEPTSTORE_TROLLEY_HEADING	s	s	Shopping Cart Dash!	Course de chariots !	Einkaufswagen-Rennen!	¡A todo gas con los carritos!	Slalom dei carrelli!
DEMO_DEPTSTORE_POSTEROBJECTIVE1	s	s	Listen to Tweety's advice	Ecoutez les conseils de Titi	Hör auf Tweety	Escucha el consejo de Piolín	Ascolta i consigli di Titti
DEMO_DEPTSTORE_POSTEROBJECTIVE2	s	s	Find those pesky posters!	Trouvez ces satanées affiches !	Such diese lästigen Poster!	¡Encuentra esos molestos carteles!	Trova quei maledetti poster!
DEMO_DEPTSTORE_POSTEROBJECTIVE3	s	s	Collect the sandwiches!	Ramassez les en-cas !	Sammle die Sandwiches!	¡Coge los sandwiches!	Raccogli i panini!
DEMO_DEPTSTORE_POSTEROBJECTIVE4	s	s	Destroy everything you can!	Détruisez tout ce qui peut \nl'être !	Zerstöre alles!	¡Destruye todo lo que puedas!	Distruggi tutto ciò che puoi!
DEMO_DEPTSTORE_POSTEROBJECTIVE5	s	s	Look out for Sam's henchmen	Méfiez-vous des hommes de Sam	Sei auf der Hut vor Sams Kumpanen	Ojo con los secuaces de Sam	Attento agli assistenti di Sam
DEMO_DEPTSTORE_POSTEROBJECTIVE6	s	s	Watch out for ACME traps!	Attention aux pièges ACME !	Hüte dich vor ACME-Fallen!	¡Cuidado con las trampas ACME!	Attento alle trappole ACME!
DEMO_DEPTSTORE_POSTEROBJECTIVE7	s	s	Answer the phone!	Répondez au téléphone !	Geh ans Telefon!	¡Responde al teléfono!	Rispondi al telefono!		
DEMO_DEPTSTORE_TROLLEYOBJECTIVE	s	s	Press @(circle) repeatedly to push the shopping cart round the course. Use the left analog stick to steer and make it through the checkpoints as fast as you can. The first across the line after 3 laps decides the winner!	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	Empuja el carrito y pulsa el el botón @(circle) repetidamente para que el carro se mueva por la pista. Usa el joystick analógico para maniobrar e intenta pasar por los controles a todo gas. ¡El primero que llegue a la meta tras 3 vueltas será el ganador!	Spingi il  carrello e premi ripetutamente il tasto @(circle) per percorrere il tracciato. Usa la levetta analogica sinistra per sterzare e per superare gli intermedi il più velocemente possibile. Il primo ad attraversare il traguardo dopo 3 giri vince!		
NAME_ENTRY_END	"Name entry choice for the user. This option is highlighted by the user to complete their name entry and move to the next section. We need a word or abbreviation as short as possible, preferably 3 chars long."	s	END	FIN	ENDE	FIN	OK		
NAME_ENTRY_DELETE	"Name entry choice for the user. This option is highlighted by the user to DELETE a letter entered on the name entry screen. We need a word or abbreviation as short as possible, preferably 3 chars long/"	s	DEL	EFF	ENTF	SUP.	IND		
RETRY_LEVEL	Asks the user if they'd like to retry the level from the beginning or not.	s	Retry Level?	Réessayer ce niveau ?	Level erneut spielen?	¿Volver a intentar el nivel?	Vuoi riprovare il livello?		
DOUBLE_CRATE	Informs the user during a destruction game that they've collected a power-up that doubles the number of crates they destroy for a limited time.	s	DOUBLE CRATES!!!	DOUBLER LE NOMBRE DE CAISSES	KISTEN VERDOPPELT!!!	¡¡¡CAJAS DOBLES!!!	CASSE DOPPIE!		
SLO_MO	Informs the user during a destruction game that they've collected a power-up that decreases their opponents speed for a limited time.	s	SLO-MO!!!	RALENTI	ZEITLUPE!!!	¡¡¡CÁM-LENTA!!!	RALLENTY!		
MP_WINNER	Says which player has won the two-player game	s	Player %d is the winner!	Victoire du joueur %d !	Spieler %d hat gewonnen!	¡El jugador %d es el ganador!	Vince il giocatore %d!		
MP_DRAW	Says that the result of the two-player game was a draw	s	It's a tie!!	Match nul !	Gleichstand!	¡Empate!	Abbiamo un pareggio!		
RACE_BEST	Shows the player's best lap time.	s	best:	Meilleur :	Bestzeit:	mejor:	migliore:		
RACE_LAP	"Shows players current lap, and total laps."	s	Lap %d/%d	Tour %d/%d	Runde %d/%d	Vuelta %d/%d	Giro %d/%d		
CHEATNAME_NONE	No cheats enabled.	s	None	Aucun	Keine	Ninguno	Nessuno		
CHEATNAME_OPEN_GALLERY	Cheat to unlock all galleries.	s	All Galleries	Toutes les galeries	Alle Galerien	Todas las Galerías	Tutte le gallerie sbloccate		
CHEATNAME_OPEN_BOSS_GAME	Cheat to unlock all 2-Player games.	s	All 2-Player Boss Games	Tous les niveaux boss à 2 joueurs	Alle 2-Spieler Endspiele	Todos los Juegos de Jefe de 2 jugadores	Tutte le modalità multigiocatore sbloccate		
CHEATNAME_OPEN_BONUS_GAMES	Cheat to unlock all bonus games.	s	All Bonus Games	Tous les jeux bonus	Alle Bonus-Spiele	Todos los Juegos Extra	Tutte le modalità bonus sbloccate		
CHEATNAME_DIGITALWATCH	Cheat to equip Taz with a digital wristwatch.	s	Digital Watch	Montre digitale	Digitaluhr	Reloj Digital	Orologio digitale		
CHEATNAME_TURBO	Cheat to make the game run at double speed.	s	Turbo	Turbo	Turbo	Turbo	Turbo
CHEATNAME_SLOWMO	Cheat to make the game run at half speed.	s	Slow-Mo	Ralenti	Zeitlupe	Cám-Lenta	Rallenty
CHEATNAME_SUPERSLOWMO	Cheat to make the game run at quarter speed.	s	Super Slow-Mo	Super-ralenti	Superzeitlupe	Súper Cám-Lenta	Super rallenty
CHEATNAME_INVISIBLE	Cheat to make Taz invisible to enemies.	s	Invisibility	Invisibilité	Unsichtbarkeit	Invisibilidad	Invisibilità
CHEATNAME_INVINCIBLE	Cheat to make Taz invincible.	s	Invincibility	Invincibilité	Unbesiegbarkeit	Invencibilidad	Invincibilità
CHEATNAME_COLOURSTEREOSCOPIC	Cheat to display the game stereoscopically (player wears 3-D glasses)	s	Stereoscopic	Stéréoscopie	Stereoskopisch	Estereoscópico	Stereoscopica
CHEATNAME_GREYSTEREOSCOPIC	"Cheat to display the game stereoscopically, in greys (player wears 3-D glasses)"	s	Grey Stereoscopic	Stéréoscopie (gris)	Stereoskopisch (Graustufen)	Estereoscópico Gris	Stereoscopica grigia
CHEATNAME_QWILSON	Cheat to make the face of one Mr. Wilson appear throughout the game.	s	Wilson!	Wilson !	Wilson!	¡Wilson!	Wilson!
CHEATNAME_DISABLESECURITYBOXES	"Cheat to disable all ""whack-in-the-boxes""."	s	Disable Whack-in-the-Boxes	Boîtes frappeuses hors service	K.O.-Kästen ausschalten	Desactivar Cajas de Porrazos	Disattiva scatole a sorpresa
CHEATNAME_MOTIONBLUR	Cheat to enable motion-blur.	s	Motion Blur	Mouvements flous	Motion Blur	Movimiento Borroso	Movimento sfuocato
CHEATNAME_COSTUME	Cheat to put Taz into the costume for the level.	s	Costume	Costume	Kostüm	Disfraz	Travestimento
CHEATNAME_TIMESLICENINJAKICK	"Cheat to show all Taz's Ninja Kick attacks using a 'timeslice' camera, to pastiche scenes from ""The Matrix""."	s	Timeslice Ninja Kick	Coup de pied ninja à 360°	Timeslice Ninja Kick	Patada Ninja al estilo Matrix	Calcio Ninja alla Matrix
CHEATNAME_TIMESLICEJUMP	"Cheat to show all Taz's jumps using a 'timeslice' camera, to pastiche scenes from ""The Matrix""."	s	Timeslice Jump	Saut à 360°	Timeslice Sprung	Salto al estilo Matrix	Salto in sospensione
CHEATNAME_INSOMNIA	Cheat to stop Taz from falling asleep when left alone for a while.	s	Insomnia	Insomnie	Schlaflosigkeit	Insomnio	Insonnia
CHEATNAME_OPENLEVELS	Cheat to unlock all levels.	s	All Levels	Tous niveaux	Alle Levels	Todos los Niveles	Tutti i livelli
CHEATNAME_SHADOWMAP	Cheat to give all characters realistic shadows rather than cartoon shadows.	s	Alternative Shadows	Ombre alternatives	Andere Schatten	Sombras Alternativas	Ombre alternative
CHEATNAME_AIRBRUSH	Cheat to make all characters look as if they were painted with an airbrush.	s	Airbrushed Characters	Aérographe	Airbrush-Figuren	Personajes Aerografiados	Modalità dipinta
CHEATNAME_NEARFOCUS	Cheat to focus the camera on the foreground and blur the background.	s	Near Focus	Vue rapprochée	Fokus nah	Foco Cercano	Fuoco vicino
CHEATNAME_FARFOCUS	Cheat to focus the camera on the background and blur the foreground.	s	Far Focus	Vue éloignée	Fokus weit	Foco Distante	Fuoco lontano
CHEATNAME_DEFOCUS	"Cheat to defocus the camera, making the game appear blurred."	s	Defocus	Flou	Unscharf	Desenfocar	Sfuocato
CHEATNAME_FILTERING	"Cheat to disable texture filtering, making textures look 'blocky'."	s	No Filtering	Pas de filtrage	Filtering aus	Sin Filtro	Nessun filtering
CHEATNAME_TIMEFREEZE	Cheat to freeze time.	s	Time Freeze	Chrono bloqué	Zeit anhalten	Congelar el Tiempo	Tempo fermo
CHEATNAME_GLOVER_MODE	Cheat to turn Taz into a bouncy rubber ball.	s	Ball Mode	Mode boule	Ball-Modus	Modo Pelota	Modalità sfera
CHEATNAME_SHOWDEBUGINFO	Cheat to display debugging information.	s	Show Debug Info	Afficher infos débuggage	Debug-Info anzeigen	Mostrar Información de Depuración	Mostra dati di debug
CHEATNAME_TAZCAM	Cheat to let you play the whole game in first-person view.	s	Taz-Cam	Taz-Cam	Taz-Cam	Taz-Cam	Telecamera Taz
CHEATENABLED	"Tells you which cheat you've enabled, eg. ""Cheat enabled:   Turbo""."	s	Cheat enabled:	Code triche autorisé :	Cheat aktiviert:	Truco Activado:	Trucco attivato:
CHEATEARNED	"Tells you that you've earned a new cheat, eg. ""New cheat awarded:   Turbo""."	s	New cheat awarded:	Nouveau code triche gagné :	Neuer Cheat:	Nuevo Truco Conseguido:	Nuovo trucco guadagnato:
CHEATS	Title for the Cheats menu.	s	Cheats	Codes triche	Cheats	Trucos	Trucchi
PAUSE_RETURNTOHUB	Asking the user whether they wish to return to the hub section of the game.	s	Return to Hub	Retour au Centre	Zurück zum Hauptbildschirm	Volver a la Base	Torna alla base
PAUSE_RETURNTOHUB_ACTION	Action text displaying the use of RETURN TO HUB	s	Save game and return to the hub	Sauvegarde la partie et ramène au Centre.	Spiel speichern und zum Hauptbildschirm zurück	Guardar el juego y volver a la Base	Salva la partita e torna alla base
PAUSE_TITLE_NEW_OBJECTIVES	"The title of the pause menu, showing the objectives of the game to the user."	s	Objectives	Objectifs	Ziel	Objetivos	Obiettivi
PAUSE_MAP_ACTION	Showing the poster objective to the user.	s	Primary Objective: Destroy 7 Taz: Wanted posters	Objectif principal : détruire 7 affiches Taz : Wanted	Hauptziel: 7 Taz: Wanted Poster zerstören	Objetivo Principal: Destruir 7 carteles Taz: Wanted	Obiettivo primario: distruggi 7 Poster ricercato
PAUSE_STATS_ACTION	Showing the secondary objective to the user.	s	Secondary Objective: Destroy %d %% of the level	Objectif secondaire : détruire %d %% du niveau	Nebenziel: %d %% des Levels zerstören	Objetivo Secundario: Destruir el %d %% del nivel	Obiettivo primario: distruggi il %d %% del livello
PAUSE_SECRET_ACTION	Showing the secret item objective.	s	Find Sam's secret item for a bonus!	Trouvez l'objet secret de Sam pour gagner un bonus !	"Suche Sams Geheim-Item, wenn du einen Bonus willst!"	¡Encuentra el objeto secreto de Sam y consigue un extra!	Trova l'oggetto segreto di Sam per ricevere un bonus!
PAUSE_TOTAL_ACTION	Showing the total bounty for the player.	s	Raise the bounty on your head	Augmentez la récompense offerte pour votre capture	Erhöhe das auf dich ausgesetzte Kopfgeld	Aumentar la recompensa por tu cabeza	Aumenta la taglia sulla tua testa
PAUSE_PICKUP_ACTION	Showing the number of pickups the player has collected.	s	Eat 100 sandwiches for a bonus	Mangez 100 en-cas pour gagner un bonus	Iss 100 Sandwiches und du erhältst einen Bonus	Cómete 100 sandwiches y consigue un extra	Mangia 100 panini per ricevere un bonus
PAUSE_GAMETIME_ACTION	Showing the users elapsed time for the level.	s	Your level time	Votre temps pour ce niveau	Deine Level-Zeit	Tu tiempo de nivel	Tempo impiegato nel livello
OPTIONS_TOGGLE_SPLITSCREEN	Gives the user the option to toggle split screen horizontally or vertically.	s	Toggle split-screen mode	Basculer en mode écrans séparés	Geteilten Bildschirm an-/ausschalten	Activar modo de pantalla partida	Modalità schermo diviso
OPTIONS_TOGGLE_SPLITSCREEN_HORI	Enables horizontal split screen mode.	s	Horizontal	Horizontalement	Horizontal	Horizontal	Orizzontale
OPTIONS_TOGGLE_SPLITSCREEN_VERT	Enables vertical split screen mode.	s	Vertical	Verticalement	Vertikal	Vertical	Verticale
OPTIONS_TOGGLE_SPLITSCREEN_ACTION_HORI	on screen prompt for horizontal split screen mode	s	Horizontal split-screen	Ecrans séparés horizontalement	Bildschirm horizontal geteilt	Pantalla partida horizontal	Schermo diviso in orizzontale
OPTIONS_TOGGLE_SPLITSCREEN_ACTION_VERT	on screen prompt for vertical split screen mode.	s	Vertical split-screen	Ecrans séparés verticalement	Bildschirm vertikal geteilt	Pantalla partida vertical	Schermo diviso in verticale
DEMO_TWOPLAYER_CONTROLLER_MESSAGE	Displayed to indicate to the user that a second controller is needed to access the two-player menu.	s	A second controller is needed for this option	Une deuxième manette est nécessaire pour cette option	Für diese Option wird ein zweiter Controller benötigt	Para esta opción se necesita un segundo mando	Per questa opzione è necessario un secondo controller
MP_1ST	"Position readout for the player in first place, in a multiplayer game."	s	1st	1er	1.	1°	1°
MP_2ND	"Position readout for the player in second place, in a multiplayer game."	s	2nd	2e	2.	2°	2°
DEMO_DEPTSTORE_HELPTEXT1	s	s	Take heed of Tweety's advice and find those pesky posters as fast as you can. Destroy them to become a free Tasmanian Devil once again. 	Suivez le conseil de Titi et trouvez ces satanées affiches aussi rapidement que possible. Détruisez-les toutes pour redevenir un diable de Tasmanie libre.	"Höre auf Tweety und mach diese nervenden Poster so schnell wie möglich ausfindig. Zerstöre sie, um wieder zu einem freien tasmanischen Teufel zu werden. "	Haz caso al consejo de Piolín y encuentra esos horribles carteles tan rápido como puedas. Elimínalos para volver a ser un demonio de Tasmania libre y sin problemas.	Fai tesoro del consiglio di Titti e trova i poster più in fretta che puoi: distruggili per tornare a essere un diavolo della Tasmania libero.
DEMO_DEPTSTORE_HELPTEXT2	s	s	Look out for Yosemite Sam's henchmen and ACME traps and use your spin to find out how destructive this devil can be! Don't forget answer the phone for a special surprise! Keep Taz happy by eating as much food as you can find.	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################
DEMO_DEPTSTORE_HELPTEXT3	s	s	Press @(circle) repeatedly to push the shopping cart round the course. Use the analog stick to steer and make it through the checkpoints as fast as you can. The first across the line after 3 laps decides the winner!	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################	Empuja el carrito y pulsa el el botón @(circle) repetidamente para que el carro se mueva por la pista. Usa el stick analógico para maniobrar e intenta pasar por los controles a todo gas. ¡El primero que llegue a la meta tras 3 vueltas será el ganador!	Spingi il carrello e premi ripetutamente il tasto @(circle) per percorrere il tracciato. Usa la levetta analogica per sterzare e per transitare sugli intermedi il più velocemente possibile. Il primo ad attraversare il traguardo dopo 3 giri vince!
XBOX_TP_MP_MUSEUM_INTRO	Explains the controls for the game.	s	Move the left thumbstick to control the speed and rotation of the floor polishers. Best of 3 laps.	Orientez le stick analogique gauche pour contrôler la vitesse et la rotation des cireuses. Course sur 3 tours. 	"Ministick nach links bewegen, um die Geschwindigkeit und Rotation der Bodenreiniger zu steuern. Der Beste nach 3 Runden gewinnt."	Mueve el stick analógico izquierdo para controlar la velocidad y los giros de las enceradoras. Gana el mejor de 3 vueltas.	Muovi la levetta sinistra per regolare la velocità e la rotazione dei lucidapavimenti. Al meglio dei 3 giri.
PC_TP_MP_MUSEUM_INTRO	Explains the controls for the game.	s	Use left and right to control the speed and rotation of the floor polishers. Best of 3 laps.	Utilisez les directions gauche et droite pour contrôler la vitesse et la rotation des cireuses. Course sur 3 tours. 	"Drücke Links oder Rechts, um die Geschwindigkeit und Rotation der Bodenreiniger zu steuern. Der Beste nach 3 Runden gewinnt."	Usa izquierda y derecha para controlar la velocidad y los giros de las enceradoras. Gana el mejor de 3 vueltas.	Usa sinistra e destra per regolare la velocità e la rotazione dei lucidapavimenti. Al meglio dei 3 giri.
XBOX_TP_MP_DEPTSTR_INTRO	Explains the controls for the game.	s	Press @(circle) repeatedly to push the shopping cart round the course. Move the left thumbstick to steer. 3 laps decides the winner.	Appuyez à plusieurs reprises sur @(circle) pour faire avancer le chariot et orientez le stick analogique gauche pour tourner. Course sur 3 tours.	"Drücke wiederholt auf @(circle), um den Wagen die Rennstrecke entlangzuschieben. Gesteuert wird mit dem Ministick links. 3 Runden entscheiden, wer gewinnt."	Presiona @(circle) repetidas veces para empujar el carrito por la pista. Mueve el stick analógico izquierdo para maniobrar. El ganador se decide en 3 vueltas.	Premi ripetutamente @(circle) per spingere il carrello lungo il tracciato. Muovi la levetta sinistra per sterzare. Il vincitore si decide dopo 3 giri.
PC_TP_MP_DEPTSTR_INTRO	Explains the controls for the game.	s	Press @(circle) repeatedly to push the shopping cart round the course. Use left and right to steer. 3 laps decides the winner.	Appuyez à plusieurs reprises sur @(circle) pour faire avancer le chariot et utilisez les directions gauche et droite pour tourner. Course sur 3 tours.	"Drücke wiederholt auf @(circle), um den Wagen die Rennstrecke entlangzuschieben. Gesteuert wird mit Links und Rechts. 3 Runden entscheiden, wer gewinnt."	Pulsa @(circle) repetidas veces para empujar el carrito por la pista. Usa  izquierda y derecha para maniobrar. El ganador se decide en 3 vueltas.	Premi ripetutamente @(circle) per spingere il carrello lungo il tracciato. Usa destra e sinistra per sterzare. Il vincitore si decide dopo 3 giri.
